municipio;ano;mes;precipitacao_sum;temp_orvalho_median
BAGE;2015;1;207.4;22.3
BAGE;2015;2;87.8;21.675
BAGE;2015;3;32.4;21.3
BAGE;2015;4;21.2;18.175
BAGE;2015;5;126.2;14.75
BAGE;2015;6;207.2;13.1
BAGE;2015;7;211.4;11.3
BAGE;2015;8;106.8;16.55
BAGE;2015;9;254.4;14.325
BAGE;2015;10;392.4;15.55
BAGE;2015;11;93.4;18.6
BAGE;2015;12;239.8;20.75
BAGE;2016;1;81.6;23.4
BAGE;2016;2;114.2;23.9
BAGE;2016;3;192.8;19.05
BAGE;2016;4;338.0;19.525
BAGE;2016;5;0.0;0.0
BAGE;2016;6;0.0;0.0
BAGE;2016;7;0.0;0.0
BAGE;2016;8;95.0;13.9
BAGE;2016;9;55.0;12.15
BAGE;2016;10;119.2;16.25
BAGE;2016;11;101.2;19.75
BAGE;2016;12;78.8;22.9
BAGE;2017;1;163.4;22.85
BAGE;2017;2;97.6;22.775
BAGE;2017;3;5.0;0.0
BAGE;2017;4;147.8;17.475
BAGE;2017;5;254.6;15.4
BAGE;2017;6;118.8;12.175
BAGE;2017;7;32.6;15.3
BAGE;2017;8;165.4;13.6
BAGE;2017;9;225.0;16.025
BAGE;2017;10;245.2;17.25
BAGE;2017;11;26.8;18.425
BAGE;2017;12;53.4;23.4
BAGE;2018;1;42.8;22.75
BAGE;2018;2;57.4;22.15
BAGE;2018;3;128.8;20.2
BAGE;2018;4;92.4;20.7
BAGE;2018;5;111.0;17.05
BAGE;2018;6;67.8;9.675
BAGE;2018;7;166.6;10.3
BAGE;2018;8;206.6;10.3
BAGE;2018;9;135.4;16.7
BAGE;2018;10;61.8;17.3
BAGE;2018;11;97.4;20.175
BAGE;2018;12;102.2;21.75
BAGE;2019;1;478.0;23.3
BAGE;2019;2;46.8;22.025
BAGE;2019;3;24.8;20.35
BAGE;2019;4;86.4;18.375
BAGE;2019;5;138.0;15.55
BAGE;2019;6;29.8;15.85
BAGE;2019;7;159.6;11.15
BAGE;2019;8;105.2;12.05
BAGE;2019;9;102.0;13.625
BAGE;2019;10;397.4;17.9
BAGE;2019;11;103.2;20.175
BAGE;2019;12;44.6;21.65
BAGE;2020;1;105.8;17.05
BAGE;2020;2;40.2;16.0
BAGE;2020;3;21.4;16.5
BAGE;2020;4;83.0;11.525
BAGE;2020;5;162.6;9.1
BAGE;2020;6;188.0;11.45
BAGE;2020;7;54.2;6.7
BAGE;2020;8;78.0;11.25
BAGE;2020;9;104.6;10.7
BAGE;2020;10;77.6;12.1
BAGE;2020;11;27.0;14.4
BAGE;2020;12;89.6;15.575
BAGE;2021;1;145.4;18.5
BAGE;2021;2;213.6;17.475
BAGE;2021;3;112.4;17.45
BAGE;2021;4;24.8;14.975
BAGE;2021;5;60.2;8.05
BAGE;2021;6;140.6;9.175
BAGE;2021;7;31.4;7.65
BAGE;2021;8;100.0;11.25
BAGE;2021;9;205.0;12.675
BAGE;2021;10;59.2;11.2
BAGE;2021;11;26.4;12.425
BAGE;2021;12;49.0;14.95
BAGE;2022;1;91.2;18.3
BAGE;2022;2;141.4;16.025
BAGE;2022;3;90.4;15.3
BAGE;2022;4;199.8;14.1
BAGE;2022;5;62.0;10.45
BAGE;2022;6;86.4;8.675
BAGE;2022;7;189.2;12.225
BAGE;2022;8;163.6;8.55
BAGE;2022;9;69.4;10.125
BAGE;2022;10;139.0;12.4
BAGE;2022;11;45.0;12.625
BAGE;2022;12;59.2;15.5
BAGE;2023;1;34.0;17.35
BAGE;2023;2;67.8;16.375
BAGE;2023;3;160.4;19.6
BAGE;2023;4;31.0;13.225
BAGE;2023;5;146.6;13.05
BAGE;2023;6;81.0;12.2
BAGE;2023;7;205.6;10.7
BAGE;2023;8;96.8;9.6
BAGE;2023;9;392.2;12.225
BAGE;2023;10;63.0;12.1
BAGE;2023;11;290.4;15.075
BAGE;2023;12;228.8;17.85
BAGE;2024;1;81.0;17.5
BAGE;2024;2;106.2;20.05
BAGE;2024;3;119.2;18.0
BAGE;2024;4;219.2;16.225
BAGE;2024;5;290.0;10.25
BAGE;2024;6;60.0;14.175
BAGE;2024;7;46.8;8.85
BAGE;2024;8;208.6;10.95
BAGE;2024;9;269.6;13.25
BAGE;2024;10;234.8;14.2
BAGE;2024;11;91.2;16.75
BAGE;2024;12;151.4;14.65
BAGE;2025;1;48.0;17.5
BAGE;2025;2;152.8;19.4
BAGE;2025;3;47.2;16.7
BAGE;2025;4;80.4;12.925
BAGE;2025;5;126.8;13.7
BAGE;2025;6;103.4;6.875
BAGE;2025;7;106.0;8.3
BAGE;2025;8;9.2;5.25
BAGE;2025;9;44.4;8.375
BAGE;2025;10;39.4;12.85
BAGE;2025;11;79.2;12.2
BAGE;2025;12;139.0;17.55
BENTO GONCALVES;2015;1;135.2;21.55
BENTO GONCALVES;2015;2;130.4;20.85
BENTO GONCALVES;2015;3;55.6;20.2
BENTO GONCALVES;2015;4;136.6;17.65
BENTO GONCALVES;2015;5;115.0;15.9
BENTO GONCALVES;2015;6;213.0;13.0
BENTO GONCALVES;2015;7;163.6;0.0
BENTO GONCALVES;2015;8;0.0;0.0
BENTO GONCALVES;2015;9;0.0;0.0
BENTO GONCALVES;2015;10;256.0;15.5
BENTO GONCALVES;2015;11;144.8;18.25
BENTO GONCALVES;2015;12;197.8;20.65
BENTO GONCALVES;2016;1;114.8;22.05
BENTO GONCALVES;2016;2;146.4;22.15
BENTO GONCALVES;2016;3;243.4;18.65
BENTO GONCALVES;2016;4;259.6;20.6
BENTO GONCALVES;2016;5;60.0;11.85
BENTO GONCALVES;2016;6;6.8;8.975
BENTO GONCALVES;2016;7;192.4;11.65
BENTO GONCALVES;2016;8;111.0;13.4
BENTO GONCALVES;2016;9;84.2;12.8
BENTO GONCALVES;2016;10;367.0;16.35
BENTO GONCALVES;2016;11;104.4;18.475
BENTO GONCALVES;2016;12;81.4;21.15
BENTO GONCALVES;2017;1;146.8;21.7
BENTO GONCALVES;2017;2;135.0;22.15
BENTO GONCALVES;2017;3;250.0;19.9
BENTO GONCALVES;2017;4;157.2;17.325
BENTO GONCALVES;2017;5;312.4;15.65
BENTO GONCALVES;2017;6;161.0;14.025
BENTO GONCALVES;2017;7;28.8;15.95
BENTO GONCALVES;2017;8;114.0;14.0
BENTO GONCALVES;2017;9;106.6;18.15
BENTO GONCALVES;2017;10;184.2;17.1
BENTO GONCALVES;2017;11;162.4;17.275
BENTO GONCALVES;2017;12;102.4;21.2
BENTO GONCALVES;2018;1;146.6;20.65
BENTO GONCALVES;2018;2;85.4;20.6
BENTO GONCALVES;2018;3;124.2;20.15
BENTO GONCALVES;2018;4;40.0;19.925
BENTO GONCALVES;2018;5;118.6;15.95
BENTO GONCALVES;2018;6;182.6;9.825
BENTO GONCALVES;2018;7;163.0;12.95
BENTO GONCALVES;2018;8;215.8;10.8
BENTO GONCALVES;2018;9;183.0;16.15
BENTO GONCALVES;2018;10;221.0;16.7
BENTO GONCALVES;2018;11;191.0;18.95
BENTO GONCALVES;2018;12;134.4;20.45
BENTO GONCALVES;2019;1;138.0;23.1
BENTO GONCALVES;2019;2;66.2;20.375
BENTO GONCALVES;2019;3;82.6;19.4
BENTO GONCALVES;2019;4;161.0;18.1
BENTO GONCALVES;2019;5;70.4;15.4
BENTO GONCALVES;2019;6;69.2;15.9
BENTO GONCALVES;2019;7;44.0;12.2
BENTO GONCALVES;2019;8;97.2;12.5
BENTO GONCALVES;2019;9;72.8;14.575
BENTO GONCALVES;2019;10;258.6;17.7
BENTO GONCALVES;2019;11;158.6;18.825
BENTO GONCALVES;2019;12;37.4;20.7
BENTO GONCALVES;2020;1;144.6;16.7
BENTO GONCALVES;2020;2;67.4;16.2
BENTO GONCALVES;2020;3;33.0;14.5
BENTO GONCALVES;2020;4;8.8;11.275
BENTO GONCALVES;2020;5;136.4;8.0
BENTO GONCALVES;2020;6;247.8;11.95
BENTO GONCALVES;2020;7;309.2;8.85
BENTO GONCALVES;2020;8;112.0;9.1
BENTO GONCALVES;2020;9;137.8;12.825
BENTO GONCALVES;2020;10;46.4;11.7
BENTO GONCALVES;2020;11;5.2;15.225
BENTO GONCALVES;2020;12;0.0;
BENTO GONCALVES;2021;1;226.0;17.7
BENTO GONCALVES;2021;2;64.6;15.8
BENTO GONCALVES;2021;3;148.6;17.25
BENTO GONCALVES;2021;4;6.8;13.025
BENTO GONCALVES;2021;5;198.0;9.2
BENTO GONCALVES;2021;6;167.2;9.8
BENTO GONCALVES;2021;7;35.4;7.0
BENTO GONCALVES;2021;8;117.2;11.15
BENTO GONCALVES;2021;9;161.4;12.725
BENTO GONCALVES;2021;10;103.8;12.15
BENTO GONCALVES;2021;11;38.2;12.675
BENTO GONCALVES;2021;12;31.2;13.85
BENTO GONCALVES;2022;1;81.6;17.05
BENTO GONCALVES;2022;2;104.0;16.6
BENTO GONCALVES;2022;3;174.0;16.55
BENTO GONCALVES;2022;4;154.0;13.775
BENTO GONCALVES;2022;5;295.0;11.0
BENTO GONCALVES;2022;6;203.0;8.2
BENTO GONCALVES;2022;7;147.8;12.5
BENTO GONCALVES;2022;8;105.4;9.05
BENTO GONCALVES;2022;9;58.8;9.675
BENTO GONCALVES;2022;10;117.4;12.6
BENTO GONCALVES;2022;11;58.2;11.4
BENTO GONCALVES;2022;12;135.0;15.0
BENTO GONCALVES;2023;1;86.8;17.35
BENTO GONCALVES;2023;2;138.4;16.25
BENTO GONCALVES;2023;3;89.4;17.6
BENTO GONCALVES;2023;4;62.2;13.45
BENTO GONCALVES;2023;5;132.8;11.6
BENTO GONCALVES;2023;6;163.6;10.725
BENTO GONCALVES;2023;7;163.8;11.8
BENTO GONCALVES;2023;8;65.8;10.0
BENTO GONCALVES;2023;9;427.0;14.1
BENTO GONCALVES;2023;10;232.0;13.3
BENTO GONCALVES;2023;11;277.6;15.85
BENTO GONCALVES;2023;12;123.8;18.2
BENTO GONCALVES;2024;1;180.8;16.7
BENTO GONCALVES;2024;2;149.2;19.1
BENTO GONCALVES;2024;3;72.6;17.8
BENTO GONCALVES;2024;4;404.6;16.925
BENTO GONCALVES;2024;5;688.6;11.5
BENTO GONCALVES;2024;6;343.0;12.9
BENTO GONCALVES;2024;7;74.2;9.7
BENTO GONCALVES;2024;8;77.4;10.65
BENTO GONCALVES;2024;9;121.8;12.825
BENTO GONCALVES;2024;10;47.8;14.15
BENTO GONCALVES;2024;11;49.8;15.275
BENTO GONCALVES;2024;12;148.4;14.9
BENTO GONCALVES;2025;1;74.0;17.1
BENTO GONCALVES;2025;2;30.8;18.45
BENTO GONCALVES;2025;3;31.6;17.1
BENTO GONCALVES;2025;4;0.0;15.0
BENTO GONCALVES;2025;5;0.0;12.8
BENTO GONCALVES;2025;6;0.0;9.5
BENTO GONCALVES;2025;7;80.2;8.6
BENTO GONCALVES;2025;8;55.2;8.775
BENTO GONCALVES;2025;9;0.0;
BENTO GONCALVES;2025;10;0.0;
BENTO GONCALVES;2025;11;0.0;
BENTO GONCALVES;2025;12;0.0;
CACAPAVA DO SUL;2015;1;156.4;21.55
CACAPAVA DO SUL;2015;2;102.2;20.875
CACAPAVA DO SUL;2015;3;79.4;20.35
CACAPAVA DO SUL;2015;4;62.8;17.825
CACAPAVA DO SUL;2015;5;220.4;14.55
CACAPAVA DO SUL;2015;6;147.2;13.075
CACAPAVA DO SUL;2015;7;296.4;12.2
CACAPAVA DO SUL;2015;8;118.4;15.55
CACAPAVA DO SUL;2015;9;130.8;13.225
CACAPAVA DO SUL;2015;10;277.6;14.2
CACAPAVA DO SUL;2015;11;180.6;17.575
CACAPAVA DO SUL;2015;12;419.8;19.75
CACAPAVA DO SUL;2016;1;78.4;21.95
CACAPAVA DO SUL;2016;2;134.2;22.2
CACAPAVA DO SUL;2016;3;216.4;18.35
CACAPAVA DO SUL;2016;4;267.0;18.925
CACAPAVA DO SUL;2016;5;82.0;11.45
CACAPAVA DO SUL;2016;6;48.4;8.675
CACAPAVA DO SUL;2016;7;178.8;10.35
CACAPAVA DO SUL;2016;8;130.6;12.7
CACAPAVA DO SUL;2016;9;63.6;12.475
CACAPAVA DO SUL;2016;10;224.6;15.3
CACAPAVA DO SUL;2016;11;273.0;18.65
CACAPAVA DO SUL;2016;12;154.8;21.05
CACAPAVA DO SUL;2017;1;137.2;21.55
CACAPAVA DO SUL;2017;2;160.8;22.325
CACAPAVA DO SUL;2017;3;256.4;19.55
CACAPAVA DO SUL;2017;4;104.4;16.75
CACAPAVA DO SUL;2017;5;286.0;14.6
CACAPAVA DO SUL;2017;6;125.0;12.475
CACAPAVA DO SUL;2017;7;26.0;15.75
CACAPAVA DO SUL;2017;8;236.4;13.1
CACAPAVA DO SUL;2017;9;194.2;14.9
CACAPAVA DO SUL;2017;10;243.8;15.8
CACAPAVA DO SUL;2017;11;94.4;17.575
CACAPAVA DO SUL;2017;12;23.2;22.4
CACAPAVA DO SUL;2018;1;66.8;22.45
CACAPAVA DO SUL;2018;2;47.6;21.15
CACAPAVA DO SUL;2018;3;147.8;19.95
CACAPAVA DO SUL;2018;4;113.8;20.0
CACAPAVA DO SUL;2018;5;72.4;15.95
CACAPAVA DO SUL;2018;6;138.4;9.375
CACAPAVA DO SUL;2018;7;219.0;9.9
CACAPAVA DO SUL;2018;8;197.0;11.1
CACAPAVA DO SUL;2018;9;315.4;15.55
CACAPAVA DO SUL;2018;10;101.6;15.8
CACAPAVA DO SUL;2018;11;141.2;19.125
CACAPAVA DO SUL;2018;12;190.4;20.3
CACAPAVA DO SUL;2019;1;301.4;22.5
CACAPAVA DO SUL;2019;2;68.2;21.0
CACAPAVA DO SUL;2019;3;96.2;19.7
CACAPAVA DO SUL;2019;4;57.0;17.9
CACAPAVA DO SUL;2019;5;254.8;15.25
CACAPAVA DO SUL;2019;6;65.4;15.3
CACAPAVA DO SUL;2019;7;268.4;10.0
CACAPAVA DO SUL;2019;8;113.0;12.05
CACAPAVA DO SUL;2019;9;97.4;13.1
CACAPAVA DO SUL;2019;10;455.8;17.4
CACAPAVA DO SUL;2019;11;69.0;18.85
CACAPAVA DO SUL;2019;12;70.4;21.15
CACAPAVA DO SUL;2020;1;190.6;17.45
CACAPAVA DO SUL;2020;2;31.0;16.7
CACAPAVA DO SUL;2020;3;46.0;16.65
CACAPAVA DO SUL;2020;4;32.0;12.175
CACAPAVA DO SUL;2020;5;210.6;9.4
CACAPAVA DO SUL;2020;6;184.8;12.1
CACAPAVA DO SUL;2020;7;101.0;6.95
CACAPAVA DO SUL;2020;8;72.6;10.55
CACAPAVA DO SUL;2020;9;152.2;11.6
CACAPAVA DO SUL;2020;10;68.4;12.45
CACAPAVA DO SUL;2020;11;42.0;14.45
CACAPAVA DO SUL;2020;12;128.4;16.0
CACAPAVA DO SUL;2021;1;172.2;18.7
CACAPAVA DO SUL;2021;2;125.4;17.275
CACAPAVA DO SUL;2021;3;133.2;18.0
CACAPAVA DO SUL;2021;4;25.2;14.925
CACAPAVA DO SUL;2021;5;42.0;8.0
CACAPAVA DO SUL;2021;6;38.6;10.575
CACAPAVA DO SUL;2021;7;14.6;8.5
CACAPAVA DO SUL;2021;8;34.0;11.8
CACAPAVA DO SUL;2021;9;301.4;12.85
CACAPAVA DO SUL;2021;10;78.8;10.6
CACAPAVA DO SUL;2021;11;111.2;13.025
CACAPAVA DO SUL;2021;12;46.8;15.7
CACAPAVA DO SUL;2022;1;48.0;18.2
CACAPAVA DO SUL;2022;2;89.0;16.325
CACAPAVA DO SUL;2022;3;177.4;16.9
CACAPAVA DO SUL;2022;4;303.0;15.05
CACAPAVA DO SUL;2022;5;116.2;11.25
CACAPAVA DO SUL;2022;6;96.0;8.75
CACAPAVA DO SUL;2022;7;196.6;12.7
CACAPAVA DO SUL;2022;8;109.8;9.5
CACAPAVA DO SUL;2022;9;56.0;9.975
CACAPAVA DO SUL;2022;10;100.6;12.4
CACAPAVA DO SUL;2022;11;81.2;12.375
CACAPAVA DO SUL;2022;12;75.0;15.4
CACAPAVA DO SUL;2023;1;90.4;16.9
CACAPAVA DO SUL;2023;2;82.2;16.7
CACAPAVA DO SUL;2023;3;80.8;19.4
CACAPAVA DO SUL;2023;4;27.0;13.95
CACAPAVA DO SUL;2023;5;338.8;13.15
CACAPAVA DO SUL;2023;6;86.0;13.2
CACAPAVA DO SUL;2023;7;209.8;11.55
CACAPAVA DO SUL;2023;8;89.2;10.45
CACAPAVA DO SUL;2023;9;680.6;13.0
CACAPAVA DO SUL;2023;10;90.6;13.15
CACAPAVA DO SUL;2023;11;254.2;16.2
CACAPAVA DO SUL;2023;12;214.4;18.65
CACAPAVA DO SUL;2024;1;139.8;18.3
CACAPAVA DO SUL;2024;2;104.4;20.1
CACAPAVA DO SUL;2024;3;174.4;18.8
CACAPAVA DO SUL;2024;4;437.0;16.625
CACAPAVA DO SUL;2024;5;338.8;10.8
CACAPAVA DO SUL;2024;6;216.8;15.05
CACAPAVA DO SUL;2024;7;71.8;8.6
CACAPAVA DO SUL;2024;8;228.8;11.3
CACAPAVA DO SUL;2024;9;259.4;14.1
CACAPAVA DO SUL;2024;10;200.8;14.7
CACAPAVA DO SUL;2024;11;45.0;16.65
CACAPAVA DO SUL;2024;12;108.2;14.95
CACAPAVA DO SUL;2025;1;39.2;18.0
CACAPAVA DO SUL;2025;2;124.6;19.425
CACAPAVA DO SUL;2025;3;19.0;17.55
CACAPAVA DO SUL;2025;4;87.4;14.15
CACAPAVA DO SUL;2025;5;295.4;14.05
CACAPAVA DO SUL;2025;6;325.8;6.875
CACAPAVA DO SUL;2025;7;137.8;9.1
CACAPAVA DO SUL;2025;8;41.8;6.6
CACAPAVA DO SUL;2025;9;59.4;9.2
CACAPAVA DO SUL;2025;10;86.0;12.8
CACAPAVA DO SUL;2025;11;82.8;12.25
CACAPAVA DO SUL;2025;12;199.3;17.4
CAMAQUA;2015;1;179.2;22.95
CAMAQUA;2015;2;112.4;22.25
CAMAQUA;2015;3;19.0;22.0
CAMAQUA;2015;4;74.2;18.9
CAMAQUA;2015;5;253.0;15.95
CAMAQUA;2015;6;175.0;13.15
CAMAQUA;2015;7;290.6;13.7
CAMAQUA;2015;8;61.6;17.5
CAMAQUA;2015;9;176.0;13.925
CAMAQUA;2015;10;283.8;16.95
CAMAQUA;2015;11;132.0;18.825
CAMAQUA;2015;12;242.0;21.25
CAMAQUA;2016;1;71.0;23.25
CAMAQUA;2016;2;46.6;23.85
CAMAQUA;2016;3;447.6;19.65
CAMAQUA;2016;4;173.2;21.35
CAMAQUA;2016;5;69.8;12.85
CAMAQUA;2016;6;5.8;9.975
CAMAQUA;2016;7;77.2;11.8
CAMAQUA;2016;8;129.6;12.95
CAMAQUA;2016;9;118.6;13.925
CAMAQUA;2016;10;190.6;16.65
CAMAQUA;2016;11;133.6;19.525
CAMAQUA;2016;12;153.6;22.8
CAMAQUA;2017;1;93.8;23.4
CAMAQUA;2017;2;176.0;23.75
CAMAQUA;2017;3;221.2;20.95
CAMAQUA;2017;4;76.2;18.7
CAMAQUA;2017;5;261.2;16.6
CAMAQUA;2017;6;76.2;14.525
CAMAQUA;2017;7;22.4;15.7
CAMAQUA;2017;8;108.4;14.4
CAMAQUA;2017;9;77.2;16.75
CAMAQUA;2017;10;118.2;17.65
CAMAQUA;2017;11;138.4;18.825
CAMAQUA;2017;12;57.8;22.35
CAMAQUA;2018;1;73.6;23.25
CAMAQUA;2018;2;172.8;21.8
CAMAQUA;2018;3;157.4;21.2
CAMAQUA;2018;4;178.8;20.5
CAMAQUA;2018;5;151.8;17.3
CAMAQUA;2018;6;97.6;10.4
CAMAQUA;2018;7;209.6;12.4
CAMAQUA;2018;8;160.0;11.95
CAMAQUA;2018;9;271.0;16.9
CAMAQUA;2018;10;89.6;18.0
CAMAQUA;2018;11;104.8;20.45
CAMAQUA;2018;12;72.0;21.85
CAMAQUA;2019;1;139.2;24.7
CAMAQUA;2019;2;70.8;22.675
CAMAQUA;2019;3;81.2;21.2
CAMAQUA;2019;4;78.6;19.325
CAMAQUA;2019;5;278.4;16.9
CAMAQUA;2019;6;41.2;17.0
CAMAQUA;2019;7;179.8;10.95
CAMAQUA;2019;8;155.0;13.0
CAMAQUA;2019;9;108.8;14.575
CAMAQUA;2019;10;127.8;18.225
CAMAQUA;2019;11;44.6;21.05
CAMAQUA;2019;12;76.6;22.75
CAMAQUA;2020;1;155.6;20.15
CAMAQUA;2020;2;35.4;19.0
CAMAQUA;2020;3;44.8;18.7
CAMAQUA;2020;4;48.2;14.7
CAMAQUA;2020;5;117.6;11.15
CAMAQUA;2020;6;165.2;13.8
CAMAQUA;2020;7;116.2;9.35
CAMAQUA;2020;8;81.2;12.6
CAMAQUA;2020;9;247.6;13.7
CAMAQUA;2020;10;131.0;14.9
CAMAQUA;2020;11;30.4;17.275
CAMAQUA;2020;12;94.0;19.0
CAMAQUA;2021;1;110.0;20.85
CAMAQUA;2021;2;65.4;19.675
CAMAQUA;2021;3;110.6;19.65
CAMAQUA;2021;4;13.6;16.9
CAMAQUA;2021;5;97.6;10.4
CAMAQUA;2021;6;7.0;11.575
CAMAQUA;2021;7;11.8;11.4
CAMAQUA;2021;8;25.6;14.45
CAMAQUA;2021;9;50.0;15.3
CAMAQUA;2021;10;35.0;14.2
CAMAQUA;2021;11;28.2;14.7
CAMAQUA;2021;12;130.4;18.1
CAMAQUA;2022;1;165.8;21.6
CAMAQUA;2022;2;121.2;20.85
CAMAQUA;2022;3;104.4;21.0
CAMAQUA;2022;4;129.6;18.9
CAMAQUA;2022;5;104.0;
CAMAQUA;2022;6;104.8;
CAMAQUA;2022;7;116.8;
CAMAQUA;2022;8;109.4;
CAMAQUA;2022;9;70.2;
CAMAQUA;2022;10;113.8;
CAMAQUA;2022;11;54.0;
CAMAQUA;2022;12;108.4;
CAMAQUA;2023;1;84.6;
CAMAQUA;2023;2;66.2;
CAMAQUA;2023;3;109.2;20.55
CAMAQUA;2023;4;53.8;15.625
CAMAQUA;2023;5;176.4;14.9
CAMAQUA;2023;6;144.0;13.675
CAMAQUA;2023;7;250.0;12.85
CAMAQUA;2023;8;93.8;12.15
CAMAQUA;2023;9;383.8;14.75
CAMAQUA;2023;10;90.6;14.7
CAMAQUA;2023;11;200.2;17.35
CAMAQUA;2023;12;135.0;20.45
CAMAQUA;2024;1;125.8;20.25
CAMAQUA;2024;2;97.6;22.0
CAMAQUA;2024;3;40.6;21.1
CAMAQUA;2024;4;302.8;17.5
CAMAQUA;2024;5;79.8;19.3
CAMAQUA;2024;6;140.4;16.75
CAMAQUA;2024;7;95.8;10.2
CAMAQUA;2024;8;145.0;13.05
CAMAQUA;2024;9;325.0;15.8
CAMAQUA;2024;10;128.8;16.2
CAMAQUA;2024;11;73.6;18.475
CAMAQUA;2024;12;146.2;17.5
CAMAQUA;2025;1;75.4;20.25
CAMAQUA;2025;2;113.6;21.575
CAMAQUA;2025;3;29.6;19.35
CAMAQUA;2025;4;97.2;16.25
CAMAQUA;2025;5;231.0;16.25
CAMAQUA;2025;6;300.0;9.775
CAMAQUA;2025;7;126.6;10.7
CAMAQUA;2025;8;81.8;10.0
CAMAQUA;2025;9;0.0;
CAMAQUA;2025;10;35.3;14.25
CAMAQUA;2025;11;124.2;15.525
CAMAQUA;2025;12;334.4;20.5
CAMBARA DO SUL;2017;1;138.2;19.1
CAMBARA DO SUL;2017;2;90.2;19.6
CAMBARA DO SUL;2017;3;101.0;16.45
CAMBARA DO SUL;2017;4;87.4;14.675
CAMBARA DO SUL;2017;5;206.8;13.6
CAMBARA DO SUL;2017;6;131.6;11.7
CAMBARA DO SUL;2017;7;6.8;12.0
CAMBARA DO SUL;2017;8;91.0;11.4
CAMBARA DO SUL;2017;9;128.8;15.5
CAMBARA DO SUL;2017;10;194.4;14.75
CAMBARA DO SUL;2017;11;145.2;14.725
CAMBARA DO SUL;2017;12;81.8;17.8
CAMBARA DO SUL;2018;1;141.2;17.9
CAMBARA DO SUL;2018;2;121.8;16.975
CAMBARA DO SUL;2018;3;175.2;17.65
CAMBARA DO SUL;2018;4;34.4;17.05
CAMBARA DO SUL;2018;5;77.0;12.8
CAMBARA DO SUL;2018;6;185.0;10.3
CAMBARA DO SUL;2018;7;188.2;12.15
CAMBARA DO SUL;2018;8;102.6;9.45
CAMBARA DO SUL;2018;9;148.2;13.25
CAMBARA DO SUL;2018;10;267.8;14.6
CAMBARA DO SUL;2018;11;111.6;16.25
CAMBARA DO SUL;2018;12;126.0;18.3
CAMBARA DO SUL;2019;1;285.0;20.65
CAMBARA DO SUL;2019;2;182.0;17.225
CAMBARA DO SUL;2019;3;115.6;17.3
CAMBARA DO SUL;2019;4;139.4;15.85
CAMBARA DO SUL;2019;5;118.6;12.85
CAMBARA DO SUL;2019;6;54.2;13.725
CAMBARA DO SUL;2019;7;64.8;10.95
CAMBARA DO SUL;2019;8;62.6;11.0
CAMBARA DO SUL;2019;9;64.8;12.25
CAMBARA DO SUL;2019;10;248.4;15.8
CAMBARA DO SUL;2019;11;123.2;16.425
CAMBARA DO SUL;2019;12;100.6;17.5
CAMBARA DO SUL;2020;1;289.4;16.4
CAMBARA DO SUL;2020;2;72.8;15.95
CAMBARA DO SUL;2020;3;20.0;14.4
CAMBARA DO SUL;2020;4;35.4;10.675
CAMBARA DO SUL;2020;5;66.4;6.25
CAMBARA DO SUL;2020;6;81.4;10.75
CAMBARA DO SUL;2020;7;28.2;10.15
CAMBARA DO SUL;2020;8;97.6;7.1
CAMBARA DO SUL;2020;9;127.8;12.175
CAMBARA DO SUL;2020;10;100.8;12.15
CAMBARA DO SUL;2020;11;165.0;14.4
CAMBARA DO SUL;2020;12;147.0;15.95
CAMBARA DO SUL;2021;1;204.6;17.3
CAMBARA DO SUL;2021;2;63.8;15.625
CAMBARA DO SUL;2021;3;88.2;17.15
CAMBARA DO SUL;2021;4;34.4;13.45
CAMBARA DO SUL;2021;5;196.8;8.2
CAMBARA DO SUL;2021;6;130.0;9.725
CAMBARA DO SUL;2021;7;35.2;6.4
CAMBARA DO SUL;2021;8;81.0;10.25
CAMBARA DO SUL;2021;9;147.0;11.775
CAMBARA DO SUL;2021;10;86.0;11.65
CAMBARA DO SUL;2021;11;113.8;12.775
CAMBARA DO SUL;2021;12;53.0;14.65
CAMBARA DO SUL;2022;1;199.4;17.7
CAMBARA DO SUL;2022;2;84.4;17.025
CAMBARA DO SUL;2022;3;141.6;16.35
CAMBARA DO SUL;2022;4;128.6;12.325
CAMBARA DO SUL;2022;5;285.6;9.6
CAMBARA DO SUL;2022;6;271.2;7.35
CAMBARA DO SUL;2022;7;99.4;10.9
CAMBARA DO SUL;2022;8;103.4;8.1
CAMBARA DO SUL;2022;9;94.4;9.4
CAMBARA DO SUL;2022;10;109.6;12.55
CAMBARA DO SUL;2022;11;58.2;11.275
CAMBARA DO SUL;2022;12;199.0;14.5
CAMBARA DO SUL;2023;1;148.0;16.7
CAMBARA DO SUL;2023;2;101.0;16.2
CAMBARA DO SUL;2023;3;139.6;17.5
CAMBARA DO SUL;2023;4;40.8;13.825
CAMBARA DO SUL;2023;5;111.2;10.5
CAMBARA DO SUL;2023;6;122.8;10.075
CAMBARA DO SUL;2023;7;174.0;9.75
CAMBARA DO SUL;2023;8;76.6;9.4
CAMBARA DO SUL;2023;9;417.8;13.275
CAMBARA DO SUL;2023;10;319.0;12.5
CAMBARA DO SUL;2023;11;479.4;15.275
CAMBARA DO SUL;2023;12;154.8;16.8
CAMBARA DO SUL;2024;1;191.0;16.3
CAMBARA DO SUL;2024;2;68.8;18.8
CAMBARA DO SUL;2024;3;58.6;17.0
CAMBARA DO SUL;2024;4;215.2;16.525
CAMBARA DO SUL;2024;5;618.2;12.95
CAMBARA DO SUL;2024;6;387.4;12.075
