Município;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez
430160 BAGE;4;4;13;3;5;9;4;2;10;4;2;4;-;1;2;-;10;8;3;12;8;8;8;3;-;1;8;5;12;4;8;2;2;5;4;4;1;2;2;6;11;9;10;5;2;5;3;2;3;1;2;-;2;4;3;6;6;5;4;2;-;1;2;-;-;1;1;3;1;3;1;1;3;1;1;1;-;1;3;3;1;5;1;1;1;-;5;12;7;5;4;7;5;8;4;4;1;2;9;8;20;7;11;12;6;7;6;1;1;4;4;9;10;9;10;4;6;6;8;7;4;3;1;13;14;8;9;9;6;6;7;5
430210 BENTO GONCALVES;-;2;2;4;5;3;2;3;2;2;1;2;-;-;-;-;1;2;1;-;3;-;-;1;2;2;5;4;3;-;1;3;-;-;-;1;-;-;-;2;1;1;1;5;3;-;2;-;1;1;2;4;8;2;1;-;1;5;4;1;-;2;2;-;-;1;1;6;3;2;1;1;2;1;1;1;3;3;4;5;2;2;-;1;1;-;6;6;2;5;1;6;5;4;4;2;-;4;13;11;9;4;4;4;5;5;3;3;1;8;9;1;9;6;6;-;7;4;3;1;1;2;4;6;2;2;2;-;1;2;4;-
430280 CACAPAVA DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-
430350 CAMAQUA;2;1;3;1;1;-;1;-;-;1;1;1;-;-;-;-;-;2;-;-;1;-;-;1;1;1;1;-;-;1;1;-;-;-;1;2;-;-;-;-;1;-;-;-;1;-;1;2;-;-;-;-;-;2;-;1;2;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;3;2;1;1;-;-;1;2;-;1;1;1;4;-;1;-;-;1;1;1;-;-;-;-;-;2;1;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;-
430360 CAMBARA DO SUL;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430390 CAMPO BOM;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;1;1;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;-;-;-;-;-;-;-;2;-;-;2;1;-;2;2;2;-;-;-;1;-;2;1;-;1;1;1;-;-;-;1;-;-;-;3;-;-;1;3;2;-
430440 CANELA;-;-;1;-;-;-;-;-;-;1;-;2;-;1;2;-;-;-;-;-;-;-;-;1;-;1;2;2;2;3;-;-;-;-;1;-;1;1;1;2;4;3;2;1;2;3;-;-;-;-;-;-;2;-;1;-;2;1;-;-;-;-;-;-;-;2;-;1;-;1;-;1;1;1;-;-;1;1;-;-;-;3;-;1;-;-;2;2;-;2;-;1;-;1;1;-;-;2;3;3;1;-;-;1;-;2;1;1;-;-;1;3;-;2;-;1;3;-;-;2;1;-;2;-;1;-;-;-;1;1;-;-
430610 CRUZ ALTA;-;1;3;4;4;3;3;1;2;4;-;-;2;-;-;3;4;3;-;9;4;-;4;-;-;-;4;1;3;4;-;1;1;1;3;1;2;-;2;-;1;5;8;6;2;-;1;1;-;1;4;3;1;1;1;3;1;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;2;1;1;2;3;2;-;-;1;-;1;-;3;-;1;1;-;-;-;-;2;1;4;1;3;3;1;2;-;-;-;-;3;2;1;2;3;2;1;2;1;1;1;-;1;1;2;2;1;-;-;-;-;-
430700 ERECHIM;2;-;4;5;10;7;5;3;6;1;2;1;1;2;3;2;4;3;4;2;2;5;1;-;-;-;-;3;-;2;2;2;1;2;1;-;1;1;4;1;3;2;3;3;3;3;-;-;-;1;-;5;5;2;1;2;2;-;-;1;-;2;3;2;-;-;1;3;1;-;-;-;-;-;-;1;-;-;2;3;1;2;2;-;-;-;3;3;2;-;2;3;4;7;2;-;1;2;7;2;2;2;4;1;4;2;7;-;-;1;2;2;4;4;3;1;2;1;3;1;1;1;1;2;2;4;3;1;6;11;4;-
430850 FREDERICO WESTPHALEN;2;2;7;3;8;6;8;-;1;2;2;1;1;1;4;6;9;5;5;2;4;2;1;-;-;6;11;5;5;3;2;2;1;4;3;2;1;1;2;1;1;2;4;9;1;3;1;3;-;-;-;4;1;6;4;3;1;3;2;-;1;2;3;-;-;-;-;2;1;3;1;1;-;-;-;-;1;-;2;2;4;4;4;5;-;-;1;12;12;7;7;4;3;5;3;6;1;3;8;8;9;1;6;4;4;2;2;3;3;-;-;6;6;3;2;2;2;4;6;6;-;1;3;3;2;4;2;1;4;1;3;1
431130 LAGOA VERMELHA;-;1;2;2;3;1;-;-;4;2;2;2;1;-;2;2;2;2;3;2;2;5;-;2;-;-;3;1;2;2;2;1;1;2;-;1;1;3;-;2;-;2;1;1;-;1;1;2;-;2;3;2;2;-;1;2;-;1;-;-;2;-;1;-;1;1;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;1;1;-;1;-;2;2;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-
431370 PALMEIRA DAS MISSOES;-;-;2;2;6;3;-;1;-;1;2;-;-;1;3;-;1;3;1;4;2;4;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;-;1;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;1;1;1;-;-;-;1;-;-;-;-;1;-;1;-;4;3;-;1;-;1;1;1;-;-;3;2;-;-;1;1;1;-;-;2;-;-;-;1;2;1;5;1;-;-;3;2;-;1;1;2;6;-;1;3;1;-;3;-
431410 PASSO FUNDO;5;1;5;7;13;7;5;8;4;5;2;3;-;1;9;1;8;11;6;7;11;10;7;4;-;6;5;4;5;7;3;7;6;1;6;2;3;2;3;8;6;7;7;6;4;7;4;1;2;2;6;5;7;6;5;8;10;7;2;1;1;3;3;-;-;-;1;6;4;5;3;1;1;8;-;-;4;3;7;6;4;5;1;1;2;-;9;12;6;5;2;3;10;14;4;4;2;6;4;6;3;8;5;11;8;8;2;6;5;3;8;3;6;-;4;3;6;4;2;5;2;4;4;9;8;4;9;6;3;3;5;1
